idHabitacion,timestamp,status
12,5/31/2021 7:19:33 a. m.,Sala no disponible.
12,5/31/2021 7:20:00 a. m.,Inicia limpieza.
12,5/31/2021 7:20:35 a. m.,Sala disponible.
12,5/31/2021 7:29:15 a. m.,Sala no disponible.
12,5/31/2021 7:29:42 a. m.,Inicia limpieza.
12,5/31/2021 7:30:31 a. m.,Sala disponible.
13,5/31/2021 7:36:38 a. m.,Sala no disponible.
13,5/31/2021 7:37:05 a. m.,Inicia limpieza.
13,5/31/2021 7:38:53 a. m.,Sala disponible.
1,5/31/2021 7:42:34 a. m.,Sala no disponible.
1,5/31/2021 7:43:14 a. m.,Inicia limpieza.
1,5/31/2021 7:46:07 a. m.,Sala disponible.
2,5/31/2021 7:54:19 a. m.,Sala no disponible.
2,5/31/2021 7:54:53 a. m.,Inicia limpieza.
12,5/31/2021 7:55:43 a. m.,Sala no disponible.
12,5/31/2021 7:56:09 a. m.,Inicia limpieza.
12,5/31/2021 7:56:56 a. m.,Sala disponible.
2,5/31/2021 7:57:19 a. m.,Sala disponible.
6,5/31/2021 7:59:14 a. m.,Sala no disponible.
6,5/31/2021 7:59:51 a. m.,Inicia limpieza.
13,5/31/2021 8:00:18 a. m.,Sala no disponible.
13,5/31/2021 8:00:45 a. m.,Inicia limpieza.
13,5/31/2021 8:01:38 a. m.,Sala disponible.
12,5/31/2021 8:05:09 a. m.,Sala no disponible.
6,5/31/2021 8:05:10 a. m.,Sala disponible.
12,5/31/2021 8:05:36 a. m.,Inicia limpieza.
12,5/31/2021 8:06:21 a. m.,Sala disponible.
13,5/31/2021 8:06:57 a. m.,Sala no disponible.
13,5/31/2021 8:07:23 a. m.,Inicia limpieza.
13,5/31/2021 8:08:15 a. m.,Sala disponible.
12,5/31/2021 8:10:42 a. m.,Sala no disponible.
13,5/31/2021 8:11:17 a. m.,Sala no disponible.
13,5/31/2021 8:11:43 a. m.,Inicia limpieza.
13,5/31/2021 8:12:23 a. m.,Sala disponible.
1,5/31/2021 8:16:18 a. m.,Sala no disponible.
1,5/31/2021 8:16:57 a. m.,Inicia limpieza.
13,5/31/2021 8:17:32 a. m.,Sala no disponible.
